2026-03-20 17:58:08 | INFO     | root                      | Starting Telegram Bot...
2026-03-20 17:58:08 | CRITICAL | root                      | BOT_TOKEN is not set. Copy .env.example → .env and fill in your token.
2026-03-20 17:59:23 | INFO     | root                      | Starting Telegram Bot...
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered user handler: CommandHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered user handler: ConversationHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered user handler: CallbackQueryHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered user handler: CallbackQueryHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered user handler: CallbackQueryHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered user handler: CallbackQueryHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered admin handler: ConversationHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered admin handler: ConversationHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered admin handler: CallbackQueryHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered admin handler: CallbackQueryHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered admin handler: CallbackQueryHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered admin handler: CallbackQueryHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered admin handler: CallbackQueryHandler
2026-03-20 17:59:25 | DEBUG    | HandlerRegistry           | Registered admin handler: CallbackQueryHandler
2026-03-20 17:59:25 | INFO     | HandlerRegistry           | All handlers registered successfully (14 total).
2026-03-20 17:59:25 | INFO     | root                      | Bot is running. Press Ctrl+C to stop.
2026-03-20 17:59:25 | DEBUG    | asyncio                   | Using proactor: IocpProactor
2026-03-20 17:59:25 | DEBUG    | telegram.ext.ExtBot       | Entering: get_me
2026-03-20 17:59:32 | DEBUG    | telegram.ext.ExtBot       | User(api_kwargs={'can_connect_to_business': False, 'has_main_web_app': False, 'has_topics_enabled': False, 'allows_users_to_create_topics': False}, can_join_groups=True, can_read_all_group_messages=False, first_name='My Service Bot', id=8591411527, is_bot=True, supports_inline_queries=False, username='my7service14_bot')
2026-03-20 17:59:32 | DEBUG    | telegram.ext.ExtBot       | Exiting: get_me
2026-03-20 17:59:32 | DEBUG    | telegram.ext.ExtBot       | This Bot is already initialized.
2026-03-20 17:59:32 | DEBUG    | aiosqlite                 | executing <function connect.<locals>.connector at 0x000001D90F303EC0>
2026-03-20 17:59:32 | DEBUG    | aiosqlite                 | operation <function connect.<locals>.connector at 0x000001D90F303EC0> completed
2026-03-20 17:59:32 | DEBUG    | aiosqlite                 | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000001D90F2D93F0>, 'PRAGMA journal_mode=WAL;', [])
2026-03-20 17:59:32 | DEBUG    | aiosqlite                 | operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x000001D90F2D93F0>, 'PRAGMA journal_mode=WAL;', []) completed
2026-03-20 17:59:32 | DEBUG    | aiosqlite                 | executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x000001D90F2D93F0>, 'PRAGMA foreign_keys=ON;', [])
